entry_date,reflection
2025-08-08,Slow start to the week but the results chapter is taking shape.
2025-08-21,Rewriting methods hurt but the chapter is twice as clear now.
2025-09-05,Small day. Figures matter more than I want to admit.
2025-09-20,The site is live and the thesis draft is almost out. Good week.
2025-09-26,Hit send on the full draft. Equal parts relief and dread.
2025-10-09,Advisor comments stung this morning but most of them are right.
2025-10-24,Revisions are slow. Trying to celebrate small wins.
2025-11-06,Committee said yes. It is actually happening.
2025-11-19,Practice talk went sideways at slide 12. Better now than later.
2025-12-01,"Defense in ten days. Mostly calm, occasionally not."
2025-12-11,Defended. Six years of school ends with a handshake and pizza.
2025-12-21,Thesis submitted. Two weeks of guilt-free rest now.
2026-01-02,"New job, day one. Everything is unfamiliar in a good way."
2026-01-15,Balancing work and research is harder than either alone.
2026-01-24,Turkish is fun. The alphabet took a day; the suffixes will take a year.
2026-02-04,First month done. Starting to feel useful on the team.
2026-02-20,On-call week taught me more than a month of docs.
2026-02-24,The eval harness runs end to end. Months of nights paying off.
2026-03-06,Tired this week. Cut back to one project a night.
2026-03-16,The v2 dashboard is coming together faster than expected.
2026-03-21,"Five minutes of Turkish conversation. My brain is soup, happily."
2026-04-02,Beta users are finding things I never would have.
2026-04-15,Launch day. Watching the metrics tick up all evening.
2026-04-24,Quiet week on purpose. Recovery is part of the work.
2026-05-08,The API perf work is unglamorous and satisfying.
2026-05-18,Two posts drafted. Writing gets easier with reps.
2026-05-26,Mock HSK1 passed. Booking the real one for autumn.
2026-06-03,The baseline fell. Eight points. I keep rechecking the numbers.
2026-06-12,"Bug bash day: humbling, useful, fun."
2026-06-22,Ten thousand visitors. Strangers read my writing now.
2026-06-26,Long week. The 1.0 push is a marathon at sprint pace.
2026-07-03,"Holiday weekend, mostly offline. Needed it."
2026-07-10,Paper submitted with three hours to spare. Never again. Probably again.
2026-07-14,We shipped 1.0. The team dinner felt earned.
2026-07-20,Post-launch quiet. Cleaning up and breathing.
2026-07-26,Six months of daily logging. The streaks pulled me through the dips.
